date,last_updated,link,source,tag,title
2021-08-26,,https://apnews.com/article/europe-france-evacuations-kabul-9e457201e5bbe75a4eb1901fedeee7a1,AP NEWS,Afghanistan,"Kabul airport attack kills 60 Afghans, 12 US troops"
2021-08-26,,https://apnews.com/article/europe-middle-east-business-kabul-dc2898e1ff9907f3be86347876ed6b52,AP NEWS,Suicide bombings,The Latest: US general warns of more attacks in Afghanistan
2021-08-26,,https://apnews.com/article/afghanistan-fe382fcac52ef4114945832d7103257e,AP NEWS,Education,Afghanistan’s top high school graduate fears for her future
2021-08-26,,https://apnews.com/article/health-coronavirus-pandemic-illinois-2457d5dfa73dfc30f2396fd22b3ab8a3,AP NEWS,Health,"Illinois requires educators, health workers to get vaccine"
2021-08-26,,https://apnews.com/article/middle-east-iran-israel-iran-nuclear-55aa75ef1b43ec09165391c533f5b5f5,AP NEWS,Joe Biden,Israeli PM and Biden postpone meeting because of Afghanistan
2021-08-26,,https://apnews.com/article/sports-college-football-technology-lifestyle-nebraska-cornhuskers-football-5cfcec9bfa9a042d653d239cfc6cc1fc,AP NEWS,Lifestyle,That’s the ticket: Move from paper to digital divides fans
2021-08-26,,https://apnews.com/article/health-immigration-coronavirus-pandemic-6d740fd07ebb236d916898d8a1082d73,AP NEWS,Child welfare,Migrant children spend weeks at US shelters as more arrive
2021-08-26,,https://apnews.com/article/capitol-siege-michael-pence-4cd64aab06e0f943ca8f83fd0b65037d,AP NEWS,Donald Trump,"Capitol Police officers sue Trump, allies over insurrection"
2021-08-26,,https://apnews.com/article/europe-evacuations-kabul-f9321f143fd8749c1cc8c460b647fdd5,AP NEWS,Joe Biden,Biden left with difficult choices after deadly Kabul attacks
2021-08-26,,https://apnews.com/article/south-dakota-0ec1a028f08df4b63718cf12c9d232da,AP NEWS,South Dakota,"South Dakota AG gets fines, no jail time in pedestrian death"
2021-08-25,,https://apnews.com/article/entertainment-arts-and-entertainment-ron-jeremy-165212fa8b76534430b84d87e982f45f,AP NEWS,Entertainment,Porn actor Ron Jeremy indicted on over 30 sex assault counts
2021-08-26,,https://apnews.com/article/business-health-coronavirus-pandemic-df8237dc2b07002de0886ac6cff6a2fb,AP NEWS,Lifestyle,US slightly upgrades GDP estimate for last quarter to 6.6% 
2021-08-25,,https://apnews.com/article/lifestyle-business-health-coronavirus-pandemic-06f736ac985d59c38c2ae8201f717d91,AP NEWS,Lifestyle,Delta will charge unvaccinated employees $200 per month
2021-08-25,,https://apnews.com/article/michigan-gretchen-whitmer-grand-rapids-c502551bd6fa4af0a8706d0b9653e653,AP NEWS,Grand Rapids,Man gets 6 years in prison in Michigan governor kidnap plot
2021-08-25,,https://apnews.com/article/religion-389bcc56019f268cb1056e37a517bd6c,AP NEWS,Dylann Roof,Court upholds death sentence for church shooter Dylann Roof
2021-08-26,,https://apnews.com/article/lifestyle-europe-business-health-coronavirus-pandemic-594c590928088a91745a48fc69ef1cb9,AP NEWS,Lifestyle,"Gig apps for a pandemic economy: Part time, no commitment"
2021-08-26,,https://apnews.com/article/science-health-coronavirus-pandemic-6df4471c64e40e7e319ae368d4c1db0b,AP NEWS,Science,"100,000 more COVID deaths seen unless US changes its ways"
2021-08-25,,https://apnews.com/article/andrew-cuomo-health-coronavirus-pandemic-7312b49695e726eda8d59848e82271c5,AP NEWS,Andrew Cuomo,"New NY governor adds 12,000 deaths to publicized COVID tally"
2021-08-25,,https://apnews.com/article/europe-africa-business-environment-and-nature-hawaii-29a288462daf07ecd68a68d35530aecd,AP NEWS,Science , Spain judge nixes backup site for disputed Hawaii telescope
2021-08-26,,https://apnews.com/article/lawsuits-michigan-ed328f20f55944164a68bc6003206c90,AP NEWS,Joe Biden,Lawyers allied with Trump penalized over Michigan lawsuit
2021-08-26,,https://apnews.com/article/health-coronavirus-pandemic-1766777633776b9490d1db6879cfb6ce,AP NEWS,Kentucky,Virus surge breaks hospital records amid rising toll on kids
2021-08-26,,https://apnews.com/article/business-apple-inc-00a31a944d465a93f1f1110a8e6d5a5c,AP NEWS,Technology,Tech companies pledge billions in cybersecurity investments
2021-08-26,,https://apnews.com/article/health-florida-coronavirus-pandemic-1f88ce7bdcbd971191a71ab8ffd3ac27,AP NEWS,Lifestyle,"Masks ordered for most Florida students, defying DeSantis"
2021-08-26,,https://apnews.com/article/entertainment-lifestyle-health-arts-and-entertainment-coronavirus-pandemic-ab306f0473b79731a3b8cd7680afd37f,AP NEWS,Lifestyle,"Music industry weighs vaccine mandates, but politics collide"
2021-08-26,,https://apnews.com/article/capitol-siege-38c2749944f7c0d74c96fd037408899c,AP NEWS,Donald Trump,House panel probing 1/6 riot seeks host of Trump-era records
2021-08-26,,https://apnews.com/article/europe-poland-d395c4ffd6cc93072bc5d5d40e59fa34,AP NEWS,Joe Biden,"Poland, Belgium end Afghan evacuation as clock ticks down"
2021-08-26,,https://apnews.com/article/entertainment-music-arts-and-entertainment-ceaf0ebec62b1eb3f600edf914849ab9,AP NEWS,Entertainment,Nirvana sued by man who was nude baby on ‘Nevermind’ cover
2021-08-26,,https://apnews.com/article/mexico-immigration-us-supreme-court-bc44917d48ef9ca0d707196280ab669a,AP NEWS,Donald Trump,EXPLAINER: What’s next for the ‘Remain in Mexico’ policy?
2021-08-26,,https://apnews.com/article/environment-and-nature-hawaii-kilauea-science--9277b2d6ecd6bddeedda516748d4941c,AP NEWS,Hawaii,EXPLAINER: Is Hawaii’s Kilauea volcano going to erupt again?
2021-08-26,,https://apnews.com/article/evacuations-kabul-14c73edf90c29769f9b87256d86fe25a,AP NEWS,Joe Biden,"US says 1,500 Americans may still await Kabul evacuation"
2021-08-26,,https://apnews.com/article/lifestyle-business-health-travel-coronavirus-pandemic-1afb2682d6e08cdb54c5131f967f278a,AP NEWS,Lifestyle,Half of US workers favor employee shot mandate: AP-NORC poll
2021-08-26,,https://apnews.com/article/lifestyle-business-health-travel-coronavirus-pandemic-f48c6f4a0292e217c6becf039c68668c,AP NEWS,Lifestyle,"Cruise lines require vaccinations, tests, amid virus surge"
2021-08-26,,https://apnews.com/article/business-health-coronavirus-pandemic-inflation-0f98e625696bbf236280da835184d7ab,AP NEWS,Coronavirus pandemic,Dilemma for Fed chief: High inflation and a surging virus
2021-08-26,,https://apnews.com/article/oddities-australia-84ab94a8881879429e32ea3e4bb38a40,AP NEWS,Oddities,Australian mourns beloved aunt with heart-shaped love ewes
2021-08-26,,https://apnews.com/article/business-health-coronavirus-pandemic-0ba36f8d413ed199697f2e8a17199988,AP NEWS,Lifestyle,"What is a COVID-19 vaccine passport, and do I need one?"
2021-08-26,,https://apnews.com/article/business-health-japan-coronavirus-pandemic-coronavirus-vaccine-c4d8c12f851c534e8ae3002cd58b63aa,AP NEWS,Spain,Japan suspends 1.63M doses of Moderna over contamination
2021-08-26,,https://apnews.com/article/pandemic-aid-public-school-funding-346d3d4b86f904184e357c34c9754800,AP NEWS,Windfalls,Pandemic windfall for US schools has few strings attached
2021-08-26,,https://apnews.com/article/lifestyle-middle-east-business-travel-west-bank-e17f8a3d11585b06d947359c3041aa33,AP NEWS,Lifestyle,Palestinian twins open cafe in converted jet in West Bank
2021-08-26,,https://apnews.com/article/business-death-of-george-floyd-voting-race-and-ethnicity-voting-rights-0a34a75ee2912e91dda062fc607d3d04,AP NEWS,Business,U.S. voting rights events reflect multiracial reform agenda
2021-08-26,,https://apnews.com/article/middle-east-religion-afghanistan-islamic-state-group-fd3061845f328cbac4ec5eab066482a8,AP NEWS,Joe Biden,Explainer: How dangerous is Afghanistan’s Islamic State?
2021-08-26,,https://apnews.com/article/health-fires-environment-and-nature-wildfires-science--9da6e376edb5648bed06f326e30c97d1,AP NEWS,Environment and nature,Gaps in US wildfire smoke warning network leave many exposed
2021-08-26,,https://apnews.com/article/europe-8e324ae796d985d97e6424f379a95932,AP NEWS,Europe,"With Merkel going, candidates fail to inspire German voters"
2021-08-26,,https://apnews.com/article/business-health-pakistan-coronavirus-pandemic-10c81f06b6b8429c4cb276f400539866,AP NEWS,Lifestyle,The Latest: Australia state easing rules as vaccine goal met
2021-08-26,,https://apnews.com/article/fires-environment-and-nature-california-wildfires-da6cde1f6444e12448432483109d2208,AP NEWS,Science ,California winds shifting as wildfire battles go on
2021-08-26,,https://apnews.com/article/europe-business-health-france-coronavirus-pandemic-72aca3ed58fd25addab44eac229da48c,AP NEWS,Lifestyle,The Latest: Russia reports daily record of 820 virus deaths
